                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
Errazuriz 2020                                        0.021960   0.079571     0.275980      0.78256426                    -0.134000                     0.177921
Escorihuela Gascón 2009                              -0.040520   0.079571    -0.509222      0.61059849                    -0.196480                     0.115441
Escorihuela Gascón 2011                              -0.098319   0.072878    -1.349086      0.17731463                    -0.241160                     0.044523
Escorihuela Gascón 2012                              -0.010064   0.075347    -0.133567      0.89374565                    -0.157744                     0.137616
Escorihuela Gascón 2013                              -0.002078   0.071731    -0.028963      0.97689448                    -0.142672                     0.138516
Escorihuela Gascón 2014                               0.060894   0.071731     0.848913      0.39593326                    -0.079700                     0.201488
Escorihuela Gascón 2015                               0.039141   0.070637     0.554106      0.57950825                    -0.099309                     0.177590
Escorihuela Gascón 2016                               0.098515   0.071731     1.373390      0.16963628                    -0.042079                     0.239109
Escorihuela Gascón 2017                               0.030186   0.072878     0.414204      0.67872634                    -0.112655                     0.173028
Escorihuela Gascón 2018                               0.176127   0.078085     2.255575      0.02410088                     0.023080                     0.329175
Escorihuela Gascón 2019                               0.152145   0.076679     1.984164      0.04724216                     0.001853                     0.302436
Escorihuela Gascón 2020                               0.162412   0.086498     1.877646      0.06043454                    -0.007124                     0.331949
Escudo Rojo 2011                                     -0.150560   0.202798    -0.742412      0.45784055                    -0.548046                     0.246926
Escudo Rojo 2017                                     -0.233396   0.181391    -1.286697      0.19820498                    -0.588923                     0.122132
Escudo Rojo 2018                                      0.069179   0.181391     0.381382      0.70292104                    -0.286348                     0.424707
Esporão 2008                                         -0.094072   0.117100    -0.803346      0.42177783                    -0.323589                     0.135445
Esporão 2009                                         -0.024714   0.108417    -0.227949      0.81968682                    -0.237212                     0.187785
Esporão 2010                                         -0.064601   0.101418    -0.636980      0.52414044                    -0.263382                     0.134179
Esporão 2011                                         -0.041848   0.108417    -0.385993      0.69950312                    -0.254347                     0.170650
Esporão 2012                                         -0.008814   0.098392    -0.089584      0.92861834                    -0.201662                     0.184034
Esporão 2013                                          0.022866   0.095621     0.239132      0.81100411                    -0.164552                     0.210284
Esporão 2014                                         -0.094392   0.098392    -0.959345      0.33738903                    -0.287240                     0.098457
Esporão 2015                                          0.099318   0.101418     0.979292      0.32743969                    -0.099462                     0.298098
Esporão 2016                                          0.040867   0.093072     0.439092      0.66059643                    -0.141555                     0.223289
Esporão 2017                                          0.147288   0.093072     1.582515      0.11353732                    -0.035134                     0.329710
Esporão 2018                                          0.137390   0.093072     1.476172      0.13990309                    -0.045031                     0.319812
Esporão 2019                                          0.177654   0.101418     1.751695      0.07983154                    -0.021126                     0.376434
Esporão 2020                                          0.013448   0.095621     0.140644      0.88815204                    -0.173969                     0.200866
Espíritu de Chile 2016                               -0.319244   0.079571    -4.012037    0.00006027**                    -0.475204                    -0.163283
Espíritu de Chile 2018                               -0.373143   0.074082    -5.036911  0.00000047****                    -0.518343                    -0.227942
Estancia 2012                                        -0.305795   0.202798    -1.507875      0.13159192                    -0.703280                     0.091691
Estancia 2013                                        -0.295319   0.202798    -1.456221      0.14533678                    -0.692805                     0.102166
Estancia 2014                                        -0.167334   0.202798    -0.825127      0.40930262                    -0.564820                     0.230151
Estancia 2016                                        -0.165321   0.202798    -0.815200      0.41496137                    -0.562807                     0.232164
Estancia 2017                                        -0.181086   0.202798    -0.892935      0.37189567                    -0.578571                     0.216400
Estancia Mendoza 2014                                -0.448363   0.143409    -3.126461      0.00177010                    -0.729445                    -0.167280
Estancia Mendoza 2015                                -0.432716   0.128273    -3.373398     0.00074294*                    -0.684131                    -0.181300
Estancia Mendoza 2016                                -0.718759   0.117100    -6.137975  0.00000000****                    -0.948276                    -0.489242
Etude 2014                                            0.430807   0.165589     2.601658      0.00927976                     0.106251                     0.755363
Evodia 2017                                          -0.337227   0.405578    -0.831474      0.40570940                    -1.132161                     0.457707
Exportación 2013                                     -0.117310   0.234168    -0.500965      0.61639728                    -0.576280                     0.341660
Exportación 2019                                     -0.093970   0.234168    -0.401296      0.68820389                    -0.552940                     0.364999
F. Stephen Millier 2018                              -0.109116   0.112508    -0.969853      0.33212360                    -0.329633                     0.111400
F. Stephen Millier 2019                               0.025263   0.112508     0.224541      0.82233735                    -0.195254                     0.245779
Fabre Montmayou 2011                                 -0.085634   0.112508    -0.761138      0.44657749                    -0.306151                     0.134882
Fabre Montmayou 2012                                 -0.044648   0.112508    -0.396840      0.69148709                    -0.265164                     0.175869
Fabre Montmayou 2013                                 -0.007002   0.108417    -0.064584      0.94850534                    -0.219500                     0.205496
Fabre Montmayou 2014                                 -0.070727   0.104743    -0.675246      0.49952199                    -0.276023                     0.134569
Fabre Montmayou 2015                                  0.075941   0.104743     0.725029      0.46843701                    -0.129355                     0.281238
Fabre Montmayou 2016                                  0.033430   0.108417     0.308348      0.75781830                    -0.179068                     0.245929
Fabre Montmayou 2017                                 -0.005332   0.108417    -0.049181      0.96077513                    -0.217830                     0.207166
Fabre Montmayou 2018                                  0.017889   0.108417     0.165000      0.86894453                    -0.194609                     0.230387
Fairview 2013                                        -0.061257   0.098392    -0.622586      0.53355887                    -0.254105                     0.131591
Fairview 2014                                         0.015070   0.093072     0.161918      0.87137059                    -0.167352                     0.197492
Fairview 2015                                        -0.082734   0.093072    -0.888928      0.37404514                    -0.265156                     0.099687
Fairview 2016                                         0.075674   0.093072     0.813064      0.41618471                    -0.106748                     0.258095
Falernia 2015                                        -0.086963   0.093072    -0.934361      0.35012140                    -0.269385                     0.095459
Falesco 2012                                         -0.264256   0.202798    -1.303048      0.19256356                    -0.661742                     0.133230
Falesco 2013                                         -0.708206   0.181391    -3.904302    0.00009460**                    -1.063734                    -0.352679
Falesco 2014                                         -0.590304   0.181391    -3.254314     0.00113730*                    -0.945832                    -0.234776
Falesco 2015                                         -0.474560   0.181391    -2.616222      0.00889313                    -0.830087                    -0.119032
Falesco 2016                                         -0.434377   0.181391    -2.394696      0.01663724                    -0.789904                    -0.078849
Familia Deicas 2009                                   0.352337   0.128273     2.746775      0.00602027                     0.100921                     0.603753
Familia Deicas 2015                                   0.209369   0.108417     1.931140      0.05347053                    -0.003129                     0.421867
Familia Torres 2008                                  -0.057068   0.090717    -0.629083      0.52929727                    -0.234874                     0.120737
Familia Torres 2009                                  -0.102886   0.088532    -1.162136      0.24518498                    -0.276409                     0.070637
Familia Torres 2010                                  -0.172928   0.079571    -2.173236      0.02976654                    -0.328888                    -0.016967
Familia Torres 2011                                  -0.071504   0.078085    -0.915715      0.35982001                    -0.224551                     0.081544
Familia Torres 2012                                  -0.352602   0.076679    -4.598388   0.00000427***                    -0.502894                    -0.202310
Familia Torres 2013                                  -0.266928   0.078085    -3.418415     0.00063029*                    -0.419975                    -0.113880
Familia Torres 2014                                  -0.179409   0.071731    -2.501123      0.01238270                    -0.320003                    -0.038815
Familia Torres 2015                                  -0.075231   0.070637    -1.065032      0.28686567                    -0.213681                     0.063218
Familia Torres 2016                                  -0.126338   0.068592    -1.841887      0.06549662                    -0.260778                     0.008102
Familia Torres 2017                                  -0.118720   0.071731    -1.655060      0.09791757                    -0.259314                     0.021874
Familia Torres 2018                                  -0.082809   0.070637    -1.172315      0.24107548                    -0.221259                     0.055640
Familia Torres 2019                                  -0.023970   0.075347    -0.318132      0.75038618                    -0.171651                     0.123710
Familia Torres 2020                                  -0.135218   0.082818    -1.632713      0.10253466                    -0.297542                     0.027106
Familia Traversa 2018                                -0.177797   0.135209    -1.314976      0.18852294                    -0.442808                     0.087214
Familia Traversa 2019                                -0.308106   0.135209    -2.278730      0.02268666                    -0.573117                    -0.043095
Famille Perrin 2010                                  -0.183600   0.112508    -1.631882      0.10270975                    -0.404116                     0.036916
Famille Perrin 2011                                  -0.195340   0.108417    -1.801746      0.07159044                    -0.407839                     0.017158
Famille Perrin 2012                                  -0.160107   0.108417    -1.476769      0.13974295                    -0.372606                     0.052391
Famille Perrin 2013                                  -0.106088   0.112508    -0.942940      0.34571535                    -0.326605                     0.114428
Famille Perrin 2014                                  -0.012441   0.112508    -0.110582      0.91194796                    -0.232958                     0.208075
Famille Perrin 2015                                  -0.056735   0.112508    -0.504278      0.61406817                    -0.277252                     0.163781
Famille Perrin 2016                                  -0.084215   0.104743    -0.804015      0.42139127                    -0.289511                     0.121081
Famille Perrin 2017                                  -0.029064   0.108417    -0.268079      0.78863915                    -0.241563                     0.183434
Famille Perrin 2018                                   0.074367   0.108417     0.685937      0.49275567                    -0.138131                     0.286866
Fanagoria (Фанагория) 2017                           -0.324061   0.122305    -2.649605      0.00806075                    -0.563780                    -0.084342
Fanagoria (Фанагория) 2018                           -0.240805   0.117100    -2.056395      0.03974883                    -0.470322                    -0.011287
Fanagoria (Фанагория) 2019                           -0.333616   0.122305    -2.727725      0.00637915                    -0.573335                    -0.093896
Fantinel 2012                                        -0.378661   0.165589    -2.286750      0.02221397                    -0.703217                    -0.054106
Farina 2015                                          -0.096615   0.117100    -0.825059      0.40934147                    -0.326132                     0.132902
Farina 2016                                          -0.153325   0.122305    -1.253621      0.20998490                    -0.393044                     0.086395
Farina 2017                                          -0.005478   0.112508    -0.048687      0.96116881                    -0.225994                     0.215039
Farnese 2008                                         -0.072125   0.112508    -0.641066      0.52148235                    -0.292642                     0.148391
Farnese 2011                                         -0.344672   0.098392    -3.503056     0.00046029*                    -0.537520                    -0.151823
Farnese 2012                                         -0.252894   0.101418    -2.493572      0.01264921                    -0.451674                    -0.054113
Farnese 2013                                         -0.165530   0.101418    -1.632150      0.10265325                    -0.364310                     0.033250
Farnese 2014                                         -0.129428   0.098392    -1.315433      0.18836967                    -0.322276                     0.063420
Farnese 2015                                         -0.200573   0.095621    -2.097581      0.03594641                    -0.387990                    -0.013155
Farnese 2016                                         -0.040315   0.104743    -0.384900      0.70031304                    -0.245612                     0.164981
Farnese 2017                                          0.092957   0.095621     0.972143      0.33098322                    -0.094460                     0.280375
Farnese 2018                                          0.009762   0.093072     0.104890      0.91646323                    -0.172659                     0.192184
Farnese 2019                                          0.000615   0.095621     0.006435      0.99486547                    -0.186802                     0.188033
Farnese 2020                                         -0.086771   0.104743    -0.828424      0.40743389                    -0.292067                     0.118525
Fat Bastard (Thierry & Guy) 2019                     -0.279844   0.202798    -1.379910      0.16761952                    -0.677329                     0.117642
Fattoria dei Barbi 2007                               0.061145   0.135209     0.452223      0.65110977                    -0.203866                     0.326156
Fattoria dei Barbi 2010                              -0.010534   0.135209    -0.077905      0.93790375                    -0.275545                     0.254478
Fattoria dei Barbi 2011                              -0.125648   0.128273    -0.979536      0.32731916                    -0.377064                     0.125768
Fattoria dei Barbi 2012                               0.032313   0.135209     0.238986      0.81111702                    -0.232698                     0.297324
Fattoria dei Barbi 2013                              -0.185648   0.122305    -1.517908      0.12904284                    -0.425368                     0.054071
Fattoria dei Barbi 2016                               0.081843   0.122305     0.669167      0.50339149                    -0.157876                     0.321562
Fattoria dei Barbi 2019                               0.007542   0.143409     0.052590      0.95805868                    -0.273540                     0.288624
Fattoria del Cerro 2013                              -0.158334   0.181391    -0.872884      0.38272975                    -0.513861                     0.197194
Fauno 2017                                           -0.099248   0.202798    -0.489392      0.62456627                    -0.496733                     0.298238
Fauno 2018                                           -0.040292   0.202798    -0.198681      0.84251276                    -0.437778                     0.357193
Faust 2014                                            0.563110   0.234168     2.404730      0.01618748                     0.104140                     1.022080
Faust 2015                                            0.582699   0.234168     2.488382      0.01283530                     0.123729                     1.041668
Faust 2016                                            0.638319   0.234168     2.725905      0.00641443                     0.179349                     1.097289
Faust 2017                                            0.722663   0.234168     3.086092      0.00202900                     0.263694                     1.181633
Faust 2018                                            0.564395   0.234168     2.410216      0.01594612                     0.105425                     1.023364
Faustino Rivero Ulecia 2013                          -0.545744   0.086498    -6.309332  0.00000000****                    -0.715280                    -0.376208
Faustino Rivero Ulecia 2015                          -0.455111   0.086498    -5.261531  0.00000014****                    -0.624648                    -0.285575
Federico Paternina 2013                              -0.327654   0.181391    -1.806337      0.07087079                    -0.683181                     0.027874
Federico Paternina 2014                              -0.359216   0.181391    -1.980341      0.04766984                    -0.714744                    -0.003689
Federico Paternina 2015                              -0.276090   0.165589    -1.667320      0.09545605                    -0.600646                     0.048465
Federico Paternina 2016                              -0.374732   0.202798    -1.847805      0.06463558                    -0.772217                     0.022754
Federico Paternina 2017                              -0.332006   0.181391    -1.830334      0.06720506                    -0.687534                     0.023521
Ferrari Carano 2012                                   0.276731   0.117100     2.363199      0.01812114                     0.047214                     0.506249
Ferrari Carano 2013                                   0.357018   0.122305     2.919070      0.00351210                     0.117299                     0.596737
Ferrari Carano 2014                                   0.267839   0.117100     2.287259      0.02218423                     0.038322                     0.497356
Ferrari Carano 2015                                   0.424245   0.117100     3.622922    0.00029154**                     0.194728                     0.653763
Fetzer 2010                                          -0.507717   0.143409    -3.540339     0.00039992*                    -0.788799                    -0.226634
Fetzer 2013                                          -0.424603   0.153308    -2.769602      0.00561424                    -0.725088                    -0.124118
Fetzer 2015                                          -0.183335   0.153308    -1.195856      0.23175747                    -0.483820                     0.117150
Fetzer 2016                                          -0.050971   0.153308    -0.332474      0.73953240                    -0.351456                     0.249514
Fetzer 2017                                          -0.358854   0.165589    -2.167131      0.03022882                    -0.683410                    -0.034298
Fetzer 2018                                          -0.156738   0.143409    -1.092941      0.27442421                    -0.437820                     0.124345
Feudi Salentini 2015                                  0.296557   0.128273     2.311922      0.02078542                     0.045142                     0.547973
Feudi Salentini 2016                                  0.168344   0.135209     1.245057      0.21311566                    -0.096668                     0.433355
Feudi di San Gregorio 2010                           -0.107978   0.128273    -0.841779      0.39991502                    -0.359393                     0.143438
Feudi di San Gregorio 2011                           -0.096245   0.128273    -0.750314      0.45306864                    -0.347661                     0.155171
Feudi di San Gregorio 2012                           -0.177838   0.128273    -1.386404      0.16562886                    -0.429254                     0.073577
Feudi di San Gregorio 2013                           -0.203962   0.128273    -1.590058      0.11182705                    -0.455377                     0.047454
Feudi di San Gregorio 2014                           -0.166031   0.128273    -1.294358      0.19554687                    -0.417447                     0.085384
Feudi di San Gregorio 2015                           -0.114226   0.122305    -0.933939      0.35033920                    -0.353945                     0.125493
Feudi di San Gregorio 2016                           -0.075805   0.128273    -0.590963      0.55454756                    -0.327220                     0.175611
Feudi di San Gregorio 2018                           -0.001866   0.128273    -0.014550      0.98839159                    -0.253282                     0.249549
Feudo Arancio 2017                                   -0.131082   0.165589    -0.791608      0.42859260                    -0.455638                     0.193474
Finca Bacara 2016                                     0.132761   0.165589     0.801748      0.42270179                    -0.191795                     0.457317
Finca Bacara 2017                                    -0.123511   0.181391    -0.680912      0.49592987                    -0.479039                     0.232016
Finca Constancia 2013                                -0.207963   0.143409    -1.450140      0.14702474                    -0.489046                     0.073119
Finca Decero 2014                                     0.242871   0.165589     1.466708      0.14246074                    -0.081685                     0.567427
Finca Decero 2015                                     0.148722   0.153308     0.970083      0.33200925                    -0.151763                     0.449207
Finca Eugenio Bustos 2014                            -0.544300   0.165589    -3.287050     0.00101302*                    -0.868856                    -0.219745
Finca Eugenio Bustos 2015                            -0.633622   0.165589    -3.826468    0.00013013**                    -0.958178                    -0.309067
Finca Eugenio Bustos 2016                            -0.509900   0.165589    -3.079306      0.00207578                    -0.834456                    -0.185345
Finca Flichman 2011                                  -0.476893   0.082818    -5.758320  0.00000001****                    -0.639216                    -0.314569
Finca Flichman 2012                                  -0.554548   0.082818    -6.695978  0.00000000****                    -0.716871                    -0.392224
Finca Flichman 2013                                  -0.381352   0.082818    -4.604696   0.00000414***                    -0.543676                    -0.219028
Finca Flichman 2014                                  -0.461666   0.082818    -5.574465  0.00000002****                    -0.623990                    -0.299342
Finca Flichman 2015                                  -0.328507   0.084598    -3.883152    0.00010322**                    -0.494319                    -0.162694
Finca Flichman 2016                                  -0.404774   0.093072    -4.349036   0.00001370***                    -0.587196                    -0.222352
Finca Flichman 2017                                  -0.457738   0.095621    -4.787006  0.00000170****                    -0.645156                    -0.270321
Finca Flichman 2018                                  -0.320106   0.104743    -3.056116      0.00224324                    -0.525402                    -0.114810
Finca Flichman 2019                                  -0.102467   0.093072    -1.100946      0.27092466                    -0.284889                     0.079954
Finca La Anita 2013                                  -0.131337   0.117100    -1.121580      0.26204543                    -0.360855                     0.098180
Finca La Anita 2017                                   0.116027   0.122305     0.948663      0.34279614                    -0.123693                     0.355746
Finca La Celia 2013                                  -0.493050   0.088532    -5.569174  0.00000003****                    -0.666573                    -0.319527
Finca La Celia 2014                                  -0.461066   0.090717    -5.082468  0.00000037****                    -0.638871                    -0.283260
Finca La Celia 2015                                  -0.338957   0.098392    -3.444975     0.00057151*                    -0.531805                    -0.146109
Finca La Celia 2016                                  -0.358145   0.112508    -3.183280     0.00145692*                    -0.578661                    -0.137628
Finca La Celia 2017                                  -0.338015   0.108417    -3.117719      0.00182344                    -0.550513                    -0.125516
Finca Los Aljibes 2007                               -0.061286   0.286791    -0.213696      0.83078467                    -0.623398                     0.500826
Finca Valpiedra 2016                                 -0.064438   0.286791    -0.224686      0.82222401                    -0.626550                     0.497674
Finca Ventura 2015                                   -0.533537   0.286791    -1.860367      0.06283855                    -1.095649                     0.028575
Finca Villacreces 2012                                0.098381   0.234168     0.420129      0.67439240                    -0.360589                     0.557350
Finca Villacreces 2013                               -0.162587   0.234168    -0.694321      0.48748387                    -0.621557                     0.296382
Finca Villacreces 2014                               -0.010631   0.234168    -0.045398      0.96379003                    -0.469600                     0.448339
Finca Villacreces 2015                                0.084250   0.234168     0.359784      0.71901027                    -0.374720                     0.543219
Finca Villacreces 2016                                0.062455   0.234168     0.266711      0.78969237                    -0.396514                     0.521425
Finca Villacreces 2017                                0.273655   0.202798     1.349393      0.17721581                    -0.123831                     0.671140
Finca Villacreces 2018                                0.305163   0.234168     1.303183      0.19251727                    -0.153806                     0.764133
Finca el Origen 2015                                 -0.073779   0.135209    -0.545663      0.58529982                    -0.338790                     0.191232
Firriato 2011                                        -0.056514   0.128273    -0.440576      0.65952166                    -0.307930                     0.194902
Firriato 2012                                        -0.033270   0.165589    -0.200920      0.84076195                    -0.357826                     0.291286
Firriato 2013                                        -0.117642   0.135209    -0.870076      0.38426260                    -0.382654                     0.147369
Firriato 2014                                         0.074425   0.117100     0.635568      0.52506076                    -0.155092                     0.303942
Flechas de los Andes 2011                            -0.156123   0.202798    -0.769844      0.44139530                    -0.553609                     0.241362
Flechas de los Andes 2013                             0.007564   0.202798     0.037299      0.97024639                    -0.389921                     0.405050
Flechas de los Andes 2019                             0.063557   0.202798     0.313398      0.75397959                    -0.333929                     0.461042
Fleur du Cap 2012                                    -0.227439   0.143409    -1.585942      0.11275773                    -0.508521                     0.053644
Fleur du Cap 2013                                    -0.257897   0.143409    -1.798332      0.07212957                    -0.538979                     0.023185
Folie à Deux 2013                                     0.052748   0.202798     0.260102      0.79478592                    -0.344737                     0.450234
Fontanafredda 2008                                   -0.088206   0.095621    -0.922456      0.35629459                    -0.275624                     0.099211
Fontanafredda 2009                                   -0.385945   0.098392    -3.922540    0.00008772**                    -0.578793                    -0.193097
Fontanafredda 2010                                   -0.093275   0.098392    -0.947999      0.34313407                    -0.286123                     0.099573
Fontanafredda 2011                                   -0.302577   0.095621    -3.164333     0.00155518*                    -0.489994                    -0.115159
Fontanafredda 2012                                   -0.229094   0.090717    -2.525378      0.01155999                    -0.406900                    -0.051289
Fontanafredda 2013                                   -0.322813   0.093072    -3.468419     0.00052390*                    -0.505235                    -0.140391
Fontanafredda 2014                                   -0.261604   0.090717    -2.883739      0.00393126                    -0.439409                    -0.083798
Fontanafredda 2015                                   -0.172629   0.093072    -1.854783      0.06363225                    -0.355050                     0.009793
Fontanafredda 2016                                   -0.108856   0.088532    -1.229567      0.21886431                    -0.282379                     0.064667
Fontanafredda 2017                                   -0.064751   0.090717    -0.713771      0.47537136                    -0.242557                     0.113054
Fontanafredda 2018                                   -0.043725   0.090717    -0.481999      0.62980856                    -0.221531                     0.134080
Fontanafredda 2019                                   -0.049881   0.101418    -0.491836      0.62283714                    -0.248661                     0.148899
Fontanafredda 2020                                   -0.177287   0.095621    -1.854062      0.06373521                    -0.364705                     0.010130
Fonterutoli 2011                                      0.096130   0.234168     0.410516      0.68142900                    -0.362840                     0.555099
Fonterutoli 2012                                      0.029763   0.234168     0.127101      0.89886106                    -0.429207                     0.488733
Fonterutoli 2013                                      0.082247   0.234168     0.351233      0.72541485                    -0.376722                     0.541217
Fonterutoli 2014                                      0.016727   0.234168     0.071432      0.94305447                    -0.442243                     0.475697
Fonterutoli 2015                                      0.058584   0.234168     0.250182      0.80244764                    -0.400385                     0.517554
Fonterutoli 2016                                      0.128772   0.234168     0.549914      0.58238061                    -0.330198                     0.587742
Fonterutoli 2019                                      0.118576   0.234168     0.506371      0.61259840                    -0.340394                     0.577545
Fontodi 2009                                          0.157460   0.181391     0.868070      0.38535935                    -0.198067                     0.512988
Fontodi 2010                                          0.152427   0.181391     0.840320      0.40073234                    -0.203101                     0.507954
Fontodi 2011                                          0.201588   0.181391     1.111345      0.26642462                    -0.153939                     0.557116
Fontodi 2012                                          0.110099   0.181391     0.606969      0.54387353                    -0.245429                     0.465626
Fontodi 2013                                          0.234350   0.181391     1.291959      0.19637627                    -0.121177                     0.589878
Fontodi 2015                                          0.182194   0.181391     1.004428      0.31517663                    -0.173333                     0.537722
Fontodi 2016                                          0.151238   0.181391     0.833769      0.40441469                    -0.204289                     0.506766
Fontodi 2017                                          0.362877   0.181391     2.000521      0.04544857                     0.007349                     0.718405
Footsteps 2018                                        0.217951   0.405578     0.537384      0.59100475                    -0.576983                     1.012885
Fortant 2012                                         -0.459623   0.143409    -3.204978     0.00135145*                    -0.740705                    -0.178540
Fortant 2016                                         -0.683800   0.112508    -6.077782  0.00000000****                    -0.904316                    -0.463284
Fox Grove 2018                                       -0.231570   0.405578    -0.570964      0.56802599                    -1.026504                     0.563364
Fox Grove 2019                                       -0.119700   0.405578    -0.295135      0.76789168                    -0.914634                     0.675234
Francis Ford Coppola Winery 2010                     -0.089501   0.079571    -1.124792      0.26068167                    -0.245462                     0.066459
Francis Ford Coppola Winery 2011                     -0.047087   0.076679    -0.614079      0.53916564                    -0.197379                     0.103205
Francis Ford Coppola Winery 2012                     -0.014800   0.076679    -0.193007      0.84695452                    -0.165092                     0.135492
Francis Ford Coppola Winery 2013                      0.011291   0.076679     0.147253      0.88293263                    -0.139001                     0.161583
Francis Ford Coppola Winery 2014                      0.113428   0.079571     1.425488      0.15402135                    -0.042532                     0.269389
Francis Ford Coppola Winery 2015                      0.094571   0.082818     1.141908      0.25349698                    -0.067753                     0.256894
Francis Ford Coppola Winery 2016                      0.092922   0.079571     1.167779      0.24290048                    -0.063038                     0.248882
Francis Ford Coppola Winery 2017                      0.077216   0.081146     0.951567      0.34132068                    -0.081831                     0.236262
Francis Ford Coppola Winery 2018                      0.164865   0.082818     1.990689      0.04651974                     0.002541                     0.327189
Francis Ford Coppola Winery 2020                      0.011821   0.088532     0.133525      0.89377847                    -0.161702                     0.185344
Franciscan 2012                                       0.298786   0.153308     1.948923      0.05130931                    -0.001699                     0.599271
Franciscan 2013                                       0.105928   0.153308     0.690950      0.48959946                    -0.194557                     0.406413
Franciscan 2014                                       0.229739   0.143409     1.601986      0.10916414                    -0.051343                     0.510822
Frank Family 2012                                     0.489011   0.135209     3.616690    0.00029864**                     0.224000                     0.754022
Frank Family 2013                                     0.545308   0.135209     4.033061    0.00005512**                     0.280297                     0.810319
Frank Family 2014                                     0.441006   0.135209     3.261650     0.00110829*                     0.175995                     0.706017
Frank Family 2015                                     0.489359   0.135209     3.619265    0.00029569**                     0.224348                     0.754370
Frank Family 2016                                     0.537666   0.135209     3.976540    0.00007001**                     0.272655                     0.802677
Fratelli Dogliani 2010                               -0.570497   0.202798    -2.813124      0.00490789                    -0.967983                    -0.173011
Fratelli Dogliani 2011                               -0.008246   0.202798    -0.040661      0.96756668                    -0.405732                     0.389240
Freemark Abbey 2012                                   0.374781   0.181391     2.066148      0.03881885                     0.019254                     0.730309
Freemark Abbey 2013                                   0.429266   0.181391     2.366520      0.01795939                     0.073738                     0.784794
Freemark Abbey 2014                                   0.482297   0.181391     2.658878      0.00784226                     0.126769                     0.837825
Freemark Abbey 2016                                   0.518273   0.181391     2.857214      0.00427527                     0.162746                     0.873801
Frescobaldi 2012                                     -0.269597   0.135209    -1.993918      0.04616559                    -0.534608                    -0.004585
Frescobaldi 2013                                     -0.383899   0.128273    -2.992829      0.00276519                    -0.635315                    -0.132483
Frescobaldi 2014                                     -0.454528   0.122305    -3.716339    0.00020232**                    -0.694248                    -0.214809
Frescobaldi 2015                                     -0.293040   0.122305    -2.395972      0.01657945                    -0.532760                    -0.053321
Frescobaldi 2016                                     -0.346522   0.128273    -2.701445      0.00690586                    -0.597938                    -0.095107
Frescobaldi 2017                                     -0.269786   0.128273    -2.103219      0.03545084                    -0.521202                    -0.018371
Frescobaldi 2018                                     -0.276476   0.128273    -2.155369      0.03113699                    -0.527891                    -0.025060
Frescobaldi 2019                                     -0.273883   0.122305    -2.239333      0.02513796                    -0.513602                    -0.034163
Frescobaldi 2020                                     -0.314059   0.135209    -2.322756      0.02019562                    -0.579070                    -0.049048
Frontera 2011                                        -0.802214   0.143409    -5.593888  0.00000002****                    -1.083297                    -0.521132
Frontera 2013                                        -0.646394   0.135209    -4.780688  0.00000175****                    -0.911406                    -0.381383
Frontera 2014                                        -0.552322   0.128273    -4.305831   0.00001666***                    -0.803737                    -0.300906
Frontera 2015                                        -0.586467   0.128273    -4.572020   0.00000484***                    -0.837882                    -0.335051
Frontera 2016                                        -0.572313   0.128273    -4.461677   0.00000815***                    -0.823728                    -0.320897
Frontera 2017                                        -0.468849   0.128273    -3.655088    0.00025732**                    -0.720265                    -0.217434
Frontera 2018                                        -0.626807   0.128273    -4.886504  0.00000103****                    -0.878222                    -0.375391
Frontera 2019                                        -0.644121   0.128273    -5.021486  0.00000051****                    -0.895537                    -0.392706
Fèlsina 2011                                          0.137364   0.143409     0.957845      0.33814507                    -0.143719                     0.418446
Fèlsina 2012                                         -0.096591   0.143409    -0.673534      0.50060997                    -0.377673                     0.184491
Fèlsina 2013                                          0.144187   0.143409     1.005428      0.31469503                    -0.136895                     0.425270
Fèlsina 2015                                          0.073027   0.143409     0.509222      0.61059861                    -0.208055                     0.354109
Fèlsina 2016                                          0.152849   0.143409     1.065823      0.28650780                    -0.128234                     0.433931
Fèlsina 2017                                          0.128815   0.143409     0.898235      0.36906383                    -0.152267                     0.409897
Fèlsina 2018                                          0.053848   0.143409     0.375482      0.70730318                    -0.227235                     0.334930
Félix Solís 2008                                     -0.841113   0.084598    -9.942482  0.00000000****                    -1.006926                    -0.675301
Félix Solís 2009                                     -0.733748   0.098392    -7.457414  0.00000000****                    -0.926596                    -0.540899
Félix Solís 2010                                     -0.789214   0.086498    -9.124087  0.00000000****                    -0.958751                    -0.619678
Félix Solís 2011                                     -0.739992   0.081146    -9.119265  0.00000000****                    -0.899039                    -0.580946
